date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2024-01-05,22,30,23,536180,22
2024-01-06,19,32,19,770250,19
2024-01-07,15,28,15,597900,15
2024-01-08,12,21,13,388900,12
2024-01-09,18,22,19,408510,18
2024-01-10,25,27,25,261100,25
2024-01-11,14,14,14,103250,14
2024-01-12,23,45,23,496300,23
2024-01-13,25,48,25,572100,25
2024-01-14,17,23,17,381900,17
2024-01-15,28,34,28,206750,28
2024-01-16,15,16,15,204250,15
2024-01-17,20,24,20,238000,20
2024-01-18,23,33,24,572750,23
2024-01-19,22,27,22,262450,22
2024-01-20,40,45,40,456650,40
2024-01-21,28,37,28,668715,28
2024-01-22,16,17,16,118150,16
2024-01-23,21,30,20,331250,20
2024-01-24,25,26,22,165600,21
2024-01-25,26,40,30,513950,26
2024-01-26,18,31,19,429300,18
2024-01-27,20,39,20,809600,20
2024-01-28,10,13,10,211050,10
2024-01-29,12,17,12,246550,12
2024-01-30,10,13,10,129250,10
2024-01-31,8,10,8,73850,8
2024-02-01,9,13,9,111800,9
2024-02-02,13,22,13,297498,13
2024-02-03,10,19,10,344868,10
2024-02-04,10,19,10,322500,10
2024-02-05,10,19,10,415350,10
2024-02-06,7,8,7,57000,7
2024-02-07,7,8,7,58100,7
2024-02-08,8,9,8,69100,8
2024-02-09,12,23,13,427800,12
2024-02-10,29,49,28,856950,28
2024-02-11,15,36,16,759000,15
2024-02-12,9,12,9,261200,9
2024-02-13,7,8,7,138300,7
2024-02-14,15,15,15,61600,15
2024-02-15,13,14,13,111100,13
2024-02-16,8,12,8,314050,8
2024-02-17,9,11,9,260650,9
2024-02-18,8,16,8,254050,8
2024-02-19,9,13,9,319550,9
2024-02-20,5,6,5,123600,5
2024-02-21,8,8,8,59400,8
2024-02-22,14,21,14,319600,14
2024-02-23,19,38,19,685400,19
2024-02-24,44,48,44,565800,44
2024-02-25,13,20,13,406810,13
2024-02-26,8,11,8,164550,8
2024-02-27,7,8,7,75350,7
2024-02-28,7,9,7,127300,7
2024-02-29,6,8,5,204800,5
2024-03-01,6,9,7,156850,6
2024-03-02,39,49,39,677250,39
2024-03-03,30,43,30,222600,30
2024-03-04,28,41,28,177400,28
2024-03-05,5,6,5,37200,5
2024-03-06,9,10,9,13000,9
2024-03-07,36,38,36,224000,36
2024-03-08,5,8,5,104200,5
2024-03-09,6,11,6,332800,6
2024-03-10,11,16,10,318500,10
2024-03-11,39,49,40,419200,39
2024-03-12,17,17,12,74600,12
2024-03-13,7,17,12,74600,7
2024-03-14,16,24,16,294550,16
2024-03-15,12,20,12,256750,12
2024-03-16,14,30,15,533750,14
2024-03-17,9,16,9,161800,9
2024-03-18,14,27,14,435430,14
2024-03-19,15,23,15,208800,15
2024-03-20,15,22,15,156000,15
2024-03-21,14,21,14,181600,14
2024-03-22,11,20,11,278200,11
2024-03-23,12,24,12,372150,12
2024-03-24,4,16,4,339700,4
2024-03-25,0,0,0,0,0
2024-03-26,0,0,0,0,0
2024-03-27,0,0,0,0,0
2024-03-28,0,0,0,0,0
2024-03-29,0,0,0,0,0
2024-03-30,0,0,0,0,0
2024-03-31,0,0,0,0,0
2024-04-01,0,0,0,0,0
2024-04-02,0,0,0,0,0
2024-04-03,0,0,0,0,0
